close_metro_station,num_rides,avg_distance_to_bikeshare,avg_ride_distance
Anacostia,88,0.07077920959040504,1.0446931818181817
Archives-Navy Mem'l,1,0.15077973073462655,0.931
Benning Road,15,0.1484347931522697,1.0296666666666667
Brookland-CUA,132,0.12265192454625193,0.8368257575757576
Capitol South,612,0.07338857658193183,0.967514705882353
Cleveland Park,143,0.13374072915644553,1.081979020979021
Columbia Heights,1178,0.0931490580208212,0.8748412563667233
Congress Heights,70,0.12173140485120243,0.9058571428571429
Dupont Circle,2596,0.11608509938749115,1.014680277349769
Eastern Market,1590,0.08913950253922741,0.9675276729559749
Farragut North,1019,0.10665948538642102,0.993918547595682
Farragut West,1,0.13396104749504475,1.166
Foggy Bottom-GWU,1938,0.12755007506562663,0.8836300309597523
Fort Totten,255,0.07176829854849567,0.9481294117647059
Friendship Heights,63,0.1393038954257101,0.9952222222222222
Gallery Pl-Chinatown,848,0.11761963551828378,0.9733549528301887
Georgia Ave Petworth,328,0.10248268482634444,0.919920731707317
Judiciary Sq,224,0.0940717478859575,1.0006339285714285
L'Enfant Plaza,5,0.14496187553696352,0.3476
McPherson Sq,1236,0.07412270368555325,0.991628640776699
Metro Center,960,0.041075021337588447,0.9293208333333334
Minnesota Ave,10,0.14843144317634743,1.0421
Mt Vernon Sq - 7th St Convention Center,772,0.08458222640592923,1.0073937823834196
Navy Yard - Ballpark,928,0.1038777679935721,0.9112877155172414
Potomac Ave,383,0.12401657250076392,1.0204804177545692
Rhode Island Ave,541,0.1043760409398374,1.0177670979667284
Shaw-Howard Univ,1280,0.0853350210015768,1.0478171875
Smithsonian,1027,0.09914983528196947,0.9821996105160662
Stadium Armory,86,0.13574834357364596,1.0129651162790698
Takoma,196,0.1495002609546979,1.083984693877551
Tenleytown-AU,451,0.135037978723599,1.1057982261640797
U St/African-Amer Civil War Memorial/Cardozo,1554,0.10974106096202836,1.1004163449163449
Van Ness-UDC,1,0.14712213945497507,0.731
Waterfront,1299,0.042221659897960596,0.9838160123171671
